iter	MultiClass
0	2.11083089
1	1.979654904
2	1.870497546
3	1.788839799
4	1.719116656
5	1.665054897
6	1.614301486
7	1.561594432
8	1.517486575
9	1.480580232
10	1.449687205
11	1.41977653
12	1.394609211
13	1.371129571
14	1.350896565
15	1.330534991
16	1.313156831
17	1.29951293
18	1.284436187
19	1.269894559
20	1.25862164
21	1.24551464
22	1.233196899
23	1.220317809
24	1.210226589
25	1.201780298
26	1.192575041
27	1.182886694
28	1.174862487
29	1.168518688
30	1.162530316
31	1.155522933
32	1.148627582
33	1.142654614
34	1.1357825
35	1.130390585
36	1.124819022
37	1.119952511
38	1.116057023
39	1.111266572
40	1.107494765
41	1.102904272
42	1.098691968
43	1.093240742
44	1.089510534
45	1.085250368
46	1.081100724
47	1.075378976
48	1.072611472
49	1.068212644
50	1.065235482
51	1.061758357
52	1.058044477
53	1.055948549
54	1.053728983
55	1.050266869
56	1.048141695
57	1.044932586
58	1.042420308
59	1.040182521
60	1.038163991
61	1.035946823
62	1.033600765
63	1.031250781
64	1.029296935
65	1.027653817
66	1.025914589
67	1.024693006
68	1.023335767
69	1.019592397
70	1.016810623
71	1.014239977
72	1.012633801
73	1.010682065
74	1.009058054
75	1.007719806
76	1.004759977
77	1.002798137
78	1.00086297
79	0.9992965103
80	0.9975055507
81	0.9956215615
82	0.9937048257
83	0.9920324124
84	0.9897497361
85	0.9883634391
86	0.9869524436
87	0.9831290744
88	0.9810878915
89	0.97999162
90	0.9777074023
91	0.9759106301
92	0.9746986766
93	0.9721418658
94	0.9708659874
95	0.9690115367
96	0.967630835
97	0.9658858417
98	0.9645540665
99	0.9626845426
100	0.9615058505
101	0.9603564517
102	0.9589079917
103	0.9575210768
104	0.956098028
105	0.9542837809
106	0.9529264603
107	0.9515963374
108	0.9505860423
109	0.9496514722
110	0.9485566987
111	0.9471994975
112	0.9461399932
113	0.9447041295
114	0.943204605
115	0.9419298181
116	0.941067573
117	0.9398342146
118	0.9387917237
119	0.9378727403
120	0.9361655617
121	0.9349450804
122	0.9328864757
123	0.9319712275
124	0.93069678
125	0.9297861133
126	0.9285384006
127	0.9274687725
128	0.925860048
129	0.9248176456
130	0.9239117329
131	0.922755635
132	0.9217663571
133	0.9209472458
134	0.9197469204
135	0.9190537627
136	0.9179524824
137	0.9171681613
138	0.9161278809
139	0.9151037729
140	0.9143079885
141	0.913374906
142	0.9121637481
143	0.9114593663
144	0.9107040888
145	0.9092204368
146	0.9083009321
147	0.9074091203
148	0.9065737635
149	0.9057920297
150	0.9050765537
151	0.9040966445
152	0.9032512402
153	0.9025003263
154	0.9017228314
155	0.901050893
156	0.9002097169
157	0.8993581627
158	0.8984865792
159	0.8976487503
160	0.8967193037
161	0.8957247979
162	0.8951967353
163	0.894670982
164	0.8938902032
165	0.8931775762
166	0.8923476588
167	0.8914483483
168	0.8909444252
169	0.8903345527
170	0.8896462189
171	0.8881047478
172	0.8872151737
173	0.886541144
174	0.8859807988
175	0.885544403
176	0.8848535486
177	0.8842434517
178	0.8835444959
179	0.8829773406
180	0.8824824472
181	0.8817437757
182	0.881306002
183	0.8800105415
184	0.8792111425
185	0.878616642
186	0.8776730577
187	0.8771228062
188	0.8765019515
189	0.8760167192
190	0.8753775995
191	0.8747911992
192	0.8742582613
193	0.8726037314
194	0.8721613784
195	0.8712568909
196	0.8706672877
197	0.8700961953
198	0.8694553526
199	0.868897992
200	0.8682511195
201	0.8674869557
202	0.8663484557
203	0.865764072
204	0.8650735284
205	0.8643865812
206	0.8637725754
207	0.8632745421
208	0.8626680058
209	0.8619409428
210	0.8614591495
211	0.8607769079
212	0.8601139408
213	0.8597416184
214	0.8591061642
215	0.8586005234
216	0.858062443
217	0.8576141022
218	0.8570375599
219	0.8564995207
220	0.8556789232
221	0.8548748377
222	0.8538018541
223	0.8533352836
224	0.8528246397
225	0.8523042659
226	0.8519117795
227	0.8512484516
228	0.8507427449
229	0.850278328
230	0.8496524038
231	0.8489070478
232	0.8484429795
233	0.8479990168
234	0.8472964837
235	0.8470017581
236	0.8463187811
237	0.8456654437
238	0.8453082712
239	0.8447920048
240	0.8444013341
241	0.8439043547
242	0.8430472582
243	0.8423474715
244	0.8419828949
245	0.841548939
246	0.8409239895
247	0.8404625055
248	0.8399114835
249	0.8394525063
250	0.8389823142
251	0.8385064828
252	0.8379930105
253	0.8375519145
254	0.8370111353
255	0.8365475025
256	0.835635861
257	0.835231638
258	0.8347175453
259	0.8342973242
260	0.8338063925
261	0.8330245435
262	0.8324384081
263	0.8319128828
264	0.8315309584
265	0.8309930299
266	0.830748618
267	0.8303807571
268	0.8297944396
269	0.8294215204
270	0.8286588405
271	0.8280549426
272	0.8275828507
273	0.8269838211
274	0.8266370652
275	0.8256642745
276	0.8253623303
277	0.8249700112
278	0.8243946372
279	0.8239418441
280	0.8234820319
281	0.8228477872
282	0.8225327568
283	0.8220699929
284	0.821760931
285	0.8210683764
286	0.8208145646
287	0.8202807574
288	0.8198391768
289	0.8194491478
290	0.8189559817
291	0.8186422498
292	0.8178529904
293	0.8174772529
294	0.8171598515
295	0.8165913412
296	0.8162651322
297	0.8159509367
298	0.8155109187
299	0.8150473742
